]633;E;{ head -n1 "$OUT"\x3b tail -n +2 "$OUT" | LC_ALL=C sort -u\x3b } > .tmp && mv .tmp "$OUT";3144bff2-d5ee-477d-95d4-68949f379621]633;Clema,pos,fuente,localizacion
abductor,Adjetivos,RAE,es_ES
abecedario,NombresMasculinos,RAE,es_ES
abecé,NombresMasculinos,RAE,es_ES
abedul,NombresMasculinos,RAE,es_ES
abeja,NombresFemeninos,RAE,es_ES
abejar,NombresMasculinos,RAE,es_ES
abejarrón,NombresMasculinos,RAE,es_ES
abejaruco,NombresMasculinos,RAE,es_ES
abejeo,NombresMasculinos,RAE,es_ES
abejero,NombresMasculinosFemeninos,RAE,es_ES
abejorrear,VerbosIntransitivos,RAE,es_ES
abejorro,NombresMasculinos,RAE,es_ES
abejón,NombresMasculinos,RAE,es_ES
abeldar,VerbosTransitivos,RAE,es_ES
abellacar,VerbosTransitivosPronominales,RAE,es_ES
abellotado,Adjetivos,RAE,es_ES
abelmosco,NombresMasculinos,RAE,es_ES
abemolar,VerbosTransitivos,RAE,es_ES
abencerraje,NombresComunes,RAE,es_ES
abenuz,NombresMasculinos,RAE,es_ES
aberenjenado,Adjetivos,RAE,es_ES
aberración,NombresFemeninos,RAE,es_ES
aberrante,Adjetivos,RAE,es_ES
abertal,Adjetivos,RAE,es_ES
abertura,NombresFemeninos,RAE,es_ES
abertzale,Adjetivos,RAE,es_ES
abertzale,NombresComunes,RAE,es_ES
aberzale,Adjetivos,RAE,es_ES
aberzale,NombresComunes,RAE,es_ES
abestiado,Adjetivos,RAE,es_ES
abestializado,Adjetivos,RAE,es_ES
abetal,NombresMasculinos,RAE,es_ES
abete,NombresMasculinos,RAE,es_ES
abeto,NombresMasculinos,RAE,es_ES
abetuna,NombresFemeninos,RAE,es_ES
abetunado,Adjetivos,RAE,es_ES
abia,NombresFemeninos,RAE,es_ES
abiar,NombresMasculinos,RAE,es_ES
abibollo,NombresMasculinos,RAE,es_ES
abichar,VerbosPronominales,RAE,es_ES
abierta,NombresFemeninos,RAE,es_ES
abiertamente,Adverbios,RAE,es_ES
abierto,Adjetivos,RAE,es_ES
abierto,Adverbios,RAE,es_ES
abierto,NombresMasculinosFemeninos,RAE,es_ES
abietáceas,NombresFemeninos,RAE,es_ES
abietáceo,Adjetivos,RAE,es_ES
abietíneas,NombresFemeninos,RAE,es_ES
abietíneo,Adjetivos,RAE,es_ES
abigarrado,Adjetivos,RAE,es_ES
abigarramiento,NombresMasculinos,RAE,es_ES
abigarrar,VerbosTransitivosPronominales,RAE,es_ES
abigotado,Adjetivos,RAE,es_ES
abinar,VerbosTransitivos,RAE,es_ES
abintestato,NombresMasculinos,RAE,es_ES
abiogénesis,NombresFemeninos,RAE,es_ES
abipón,Adjetivos,RAE,es_ES
abipón,NombresMasculinos,RAE,es_ES
abipón,NombresMasculinosFemeninos,RAE,es_ES
abisagrar,VerbosTransitivos,RAE,es_ES
abisal,Adjetivos,RAE,es_ES
abiselar,VerbosTransitivos,RAE,es_ES
abisinio,Adjetivos,RAE,es_ES
abisinio,NombresMasculinos,RAE,es_ES
abismal,Adjetivos,RAE,es_ES
abismal,NombresMasculinos,RAE,es_ES
abismar,VerbosTransitivosPronominales,RAE,es_ES
abismo,NombresMasculinos,RAE,es_ES
abismático,Adjetivos,RAE,es_ES
abitadura,NombresFemeninos,RAE,es_ES
abitar,VerbosTransitivos,RAE,es_ES
abitón,NombresMasculinos,RAE,es_ES
abizcochado,Adjetivos,RAE,es_ES
abiótico,Adjetivos,RAE,es_ES
abjurar,VerbosTransitivosIntransitivos,RAE,es_ES
ablación,NombresFemeninos,RAE,es_ES
ablandabrevas,NombresComunes,RAE,es_ES
ablandador,Adjetivos,RAE,es_ES
ablandamiento,NombresMasculinos,RAE,es_ES
ablandar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
ablandativo,Adjetivos,RAE,es_ES
ablandecer,VerbosAnticuadosDesusados,RAE,es_ES
ablanedo,NombresMasculinos,RAE,es_ES
ablanero,NombresMasculinos,RAE,es_ES
ablano,NombresMasculinos,RAE,es_ES
ablativo,Adjetivos,RAE,es_ES
ablativo,NombresMasculinos,RAE,es_ES
ablentar,VerbosTransitivos,RAE,es_ES
ablución,NombresFemeninos,RAE,es_ES
abnegación,NombresFemeninos,RAE,es_ES
abnegado,Adjetivos,RAE,es_ES
abobado,Adjetivos,RAE,es_ES
abobamiento,NombresMasculinos,RAE,es_ES
abobar,VerbosTransitivosPronominales,RAE,es_ES
abocadear,VerbosAnticuadosDesusados,RAE,es_ES
abocamiento,NombresMasculinos,RAE,es_ES
abocanar,VerbosIntransitivos,RAE,es_ES
abocar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abocardar,VerbosTransitivos,RAE,es_ES
abocetar,VerbosTransitivos,RAE,es_ES
abochornar,VerbosTransitivosPronominales,RAE,es_ES
abocinado,Adjetivos,RAE,es_ES
abocinamiento,NombresMasculinos,RAE,es_ES
abocinar,VerbosIntransitivosPronominales,RAE,es_ES
abocinar,VerbosTransitivos,RAE,es_ES
abofar,VerbosPronominales,RAE,es_ES
abofeteador,Adjetivos,RAE,es_ES
abofetear,VerbosTransitivos,RAE,es_ES
abogacía,NombresFemeninos,RAE,es_ES
abogadismo,NombresMasculinos,RAE,es_ES
abogado,NombresMasculinosFemeninos,RAE,es_ES
abogador,NombresMasculinos,RAE,es_ES
abogar,VerbosIntransitivos,RAE,es_ES
abolengo,NombresMasculinos,RAE,es_ES
abolicionismo,NombresMasculinos,RAE,es_ES
abolicionista,Adjetivos,RAE,es_ES
abolición,NombresFemeninos,RAE,es_ES
abollar,VerbosTransitivos,RAE,es_ES
abollar,VerbosTransitivosPronominales,RAE,es_ES
abollonar,VerbosIntransitivos,RAE,es_ES
abollonar,VerbosTransitivos,RAE,es_ES
abolorio,NombresMasculinos,RAE,es_ES
abolsar,VerbosPronominales,RAE,es_ES
abombado,Adjetivos,RAE,es_ES
abombamiento,NombresMasculinos,RAE,es_ES
abombar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abombar,VerbosTransitivosPronominales,RAE,es_ES
abominar,VerbosTransitivosIntransitivos,RAE,es_ES
abonado,Adjetivos,RAE,es_ES
abonado,NombresMasculinosFemeninos,RAE,es_ES
abonador,Adjetivos,RAE,es_ES
abonador,NombresMasculinosFemeninos,RAE,es_ES
abonanzar,VerbosIntransitivos,RAE,es_ES
abonar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abondar,VerbosAnticuadosDesusados,RAE,es_ES
aboquillar,VerbosTransitivos,RAE,es_ES
abordable,Adjetivos,RAE,es_ES
abordador,Adjetivos,RAE,es_ES
abordaje,NombresMasculinos,RAE,es_ES
abordar,VerbosTransitivosIntransitivos,RAE,es_ES
aborigen,Adjetivos,RAE,es_ES
aborrajar,VerbosPronominales,RAE,es_ES
aborrascar,VerbosPronominales,RAE,es_ES
aborrecedor,Adjetivos,RAE,es_ES
aborrecer,VerbosTransitivosPronominales,RAE,es_ES
aborrecimiento,NombresMasculinos,RAE,es_ES
aborregar,VerbosPronominales,RAE,es_ES
aborrir,VerbosAnticuadosDesusados,RAE,es_ES
aborronar,VerbosIntransitivos,RAE,es_ES
abortamiento,NombresMasculinos,RAE,es_ES
abortar,VerbosTransitivosIntransitivos,RAE,es_ES
abortista,Adjetivos,RAE,es_ES
abortista,NombresComunes,RAE,es_ES
abortivo,Adjetivos,RAE,es_ES
aborto,NombresMasculinos,RAE,es_ES
abortón,NombresMasculinos,RAE,es_ES
aborujar,VerbosTransitivosPronominales,RAE,es_ES
abotagamiento,NombresMasculinos,RAE,es_ES
abotagar,VerbosPronominales,RAE,es_ES
abotargamiento,NombresMasculinos,RAE,es_ES
abotargar,VerbosPronominales,RAE,es_ES
abotinado,Adjetivos,RAE,es_ES
abotonador,NombresMasculinos,RAE,es_ES
abotonar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abovedado,Adjetivos,RAE,es_ES
abovedar,VerbosTransitivos,RAE,es_ES
aboyar,VerbosTransitivos,RAE,es_ES
aboyar,VerbosTransitivosIntransitivos,RAE,es_ES
abozalar,VerbosTransitivos,RAE,es_ES
abra,NombresFemeninos,RAE,es_ES
abracadabra,NombresMasculinos,RAE,es_ES
abracijo,NombresMasculinos,RAE,es_ES
abrasador,Adjetivos,RAE,es_ES
abrasamiento,NombresMasculinos,RAE,es_ES
abrasar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abrasivo,Adjetivos,RAE,es_ES
abrasión,NombresFemeninos,RAE,es_ES
abravar,VerbosAnticuadosDesusados,RAE,es_ES
abravecer,VerbosTransitivos,RAE,es_ES
abraxas,NombresMasculinosFemeninos,RAE,es_ES
abrazadera,NombresFemeninos,RAE,es_ES
abrazador,Adjetivos,RAE,es_ES
abrazador,NombresMasculinos,RAE,es_ES
abrazamiento,NombresMasculinos,RAE,es_ES
abrazar,VerbosTransitivosPronominales,RAE,es_ES
abrebotellas,NombresMasculinos,RAE,es_ES
abrecartas,NombresMasculinos,RAE,es_ES
abrelatas,NombresMasculinos,RAE,es_ES
abrenunciar,VerbosAnticuadosDesusados,RAE,es_ES
abreojos,NombresMasculinos,RAE,es_ES
abretonar,VerbosTransitivos,RAE,es_ES
abrevadero,NombresMasculinos,RAE,es_ES
abrevador,Adjetivos,RAE,es_ES
abrevador,NombresMasculinos,RAE,es_ES
abrevar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abreviadamente,Adverbios,RAE,es_ES
abreviado,Adjetivos,RAE,es_ES
abreviador,Adjetivos,RAE,es_ES
abreviador,NombresMasculinos,RAE,es_ES
abreviaduría,NombresFemeninos,RAE,es_ES
abreviamiento,NombresMasculinos,RAE,es_ES
abreviar,VerbosTransitivosIntransitivos,RAE,es_ES
abreviatura,NombresFemeninos,RAE,es_ES
abrezar,VerbosTransitivos,RAE,es_ES
abridero,Adjetivos,RAE,es_ES
abridero,NombresMasculinos,RAE,es_ES
abridor,Adjetivos,RAE,es_ES
abridor,NombresMasculinos,RAE,es_ES
abrigada,Adjetivos,RAE,es_ES
abrigado,Adjetivos,RAE,es_ES
abrigado,NombresMasculinosFemeninos,RAE,es_ES
abrigador,Adjetivos,RAE,es_ES
abrigar,VerbosTransitivosPronominales,RAE,es_ES
abrigo,NombresMasculinos,RAE,es_ES
abril,NombresMasculinos,RAE,es_ES
abrileño,Adjetivos,RAE,es_ES
abrillantador,Adjetivos,RAE,es_ES
abrillantador,NombresMasculinos,RAE,es_ES
abrillantar,VerbosTransitivos,RAE,es_ES
abrimiento,NombresMasculinos,RAE,es_ES
abriolar,VerbosTransitivos,RAE,es_ES
abrir,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abrochador,NombresMasculinos,RAE,es_ES
abrochamiento,NombresMasculinos,RAE,es_ES
abrochar,VerbosTransitivosPronominales,RAE,es_ES
abrogar,VerbosTransitivos,RAE,es_ES
abrojo,NombresMasculinos,RAE,es_ES
abromar,VerbosPronominales,RAE,es_ES
abroncar,VerbosTransitivosPronominales,RAE,es_ES
abroquelar,VerbosTransitivosPronominales,RAE,es_ES
abrotoñar,VerbosIntransitivos,RAE,es_ES
abrumar,VerbosPronominales,RAE,es_ES
abrumar,VerbosTransitivos,RAE,es_ES
abrupto,Adjetivos,RAE,es_ES
abrutado,Adjetivos,RAE,es_ES
abruzar,VerbosPronominales,RAE,es_ES
abrótano,NombresMasculinos,RAE,es_ES
absceso,NombresMasculinos,RAE,es_ES
abscisa,NombresFemeninos,RAE,es_ES
absconder,VerbosAnticuadosDesusados,RAE,es_ES
absentarse,VerbosAnticuadosDesusados,RAE,es_ES
absentismo,NombresMasculinos,RAE,es_ES
absolución,NombresFemeninos,RAE,es_ES
absoluta,NombresFemeninos,RAE,es_ES
absolutamente,Adverbios,RAE,es_ES
absolutidad,NombresFemeninos,RAE,es_ES
absolutismo,NombresMasculinos,RAE,es_ES
absolutista,Adjetivos,RAE,es_ES
absoluto,Adjetivos,RAE,es_ES
absolutorio,Adjetivos,RAE,es_ES
absolvedor,Adjetivos,RAE,es_ES
absolver,VerbosTransitivos,RAE,es_ES
absorbencia,NombresFemeninos,RAE,es_ES
absorbente,Adjetivos,RAE,es_ES
absorbente,NombresMasculinos,RAE,es_ES
absorber,VerbosTransitivos,RAE,es_ES
absorbimiento,NombresMasculinos,RAE,es_ES
absorción,NombresFemeninos,RAE,es_ES
absortar,VerbosTransitivosPronominales,RAE,es_ES
absorto,Adjetivos,RAE,es_ES
abstemio,Adjetivos,RAE,es_ES
abstencionismo,NombresMasculinos,RAE,es_ES
abstencionista,Adjetivos,RAE,es_ES
abstención,NombresFemeninos,RAE,es_ES
abstener,VerbosPronominales,RAE,es_ES
abstergente,Adjetivos,RAE,es_ES
absterger,VerbosTransitivos,RAE,es_ES
abstinencia,NombresFemeninos,RAE,es_ES
abstinente,Adjetivos,RAE,es_ES
abstracción,NombresFemeninos,RAE,es_ES
abstractamente,Adverbios,RAE,es_ES
abstracto,Adjetivos,RAE,es_ES
abstraer,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abstraído,Adjetivos,RAE,es_ES
abstruso,Adjetivos,RAE,es_ES
absurdidad,NombresFemeninos,RAE,es_ES
absurdo,Adjetivos,RAE,es_ES
absurdo,NombresMasculinos,RAE,es_ES
abubilla,NombresFemeninos,RAE,es_ES
abuchear,VerbosTransitivos,RAE,es_ES
abucheo,NombresMasculinos,RAE,es_ES
abudabí,Adjetivos,RAE,es_ES
abudabí,NombresComunes,RAE,es_ES
abuela,NombresFemeninos,RAE,es_ES
abuelastro,NombresMasculinosFemeninos,RAE,es_ES
abuelo,NombresMasculinosFemeninos,RAE,es_ES
abuhado,Adjetivos,RAE,es_ES
abuhardillado,Adjetivos,RAE,es_ES
abujardar,VerbosTransitivos,RAE,es_ES
abulaga,NombresFemeninos,RAE,es_ES
abulagar,NombresMasculinos,RAE,es_ES
abulense,Adjetivos,RAE,es_ES
abulia,NombresFemeninos,RAE,es_ES
abullonar,VerbosTransitivos,RAE,es_ES
abultado,Adjetivos,RAE,es_ES
abultamiento,NombresMasculinos,RAE,es_ES
abultar,VerbosTransitivosIntransitivos,RAE,es_ES
abulón,NombresMasculinos,RAE,es_ES
abundancia,NombresFemeninos,RAE,es_ES
abundancial,Adjetivos,RAE,es_ES
abundante,Adjetivos,RAE,es_ES
abundantemente,Adverbios,RAE,es_ES
abundar,VerbosIntransitivos,RAE,es_ES
abundoso,Adjetivos,RAE,es_ES
abur,Interjecciones,RAE,es_ES
aburar,VerbosTransitivos,RAE,es_ES
aburelado,Adjetivos,RAE,es_ES
aburguesamiento,NombresMasculinos,RAE,es_ES
aburguesar,VerbosPronominales,RAE,es_ES
aburrar,VerbosPronominales,RAE,es_ES
aburrición,NombresFemeninos,RAE,es_ES
aburridamente,Adverbios,RAE,es_ES
aburrido,Adjetivos,RAE,es_ES
aburridor,Adjetivos,RAE,es_ES
aburrimiento,NombresMasculinos,RAE,es_ES
aburrir,VerbosTransitivosPronominales,RAE,es_ES
aburujar,VerbosTransitivosPronominales,RAE,es_ES
abusador,Adjetivos,RAE,es_ES
abusar,VerbosIntransitivos,RAE,es_ES
abusivo,Adjetivos,RAE,es_ES
abuso,NombresMasculinos,RAE,es_ES
abusón,Adjetivos,RAE,es_ES
abuzar,VerbosPronominales,RAE,es_ES
abuñolar,VerbosTransitivos,RAE,es_ES
abuñuelar,VerbosTransitivos,RAE,es_ES
abyección,NombresFemeninos,RAE,es_ES
abyecto,Adjetivos,RAE,es_ES
abéñula,NombresFemeninos,RAE,es_ES
abúlico,Adjetivos,RAE,es_ES
acabable,Adjetivos,RAE,es_ES
acabado,Adjetivos,RAE,es_ES
acabado,NombresMasculinos,RAE,es_ES
acabador,Adjetivos,RAE,es_ES
acabalar,VerbosTransitivos,RAE,es_ES
acaballadero,NombresMasculinos,RAE,es_ES
acaballado,Adjetivos,RAE,es_ES
acaballar,VerbosTransitivosPronominales,RAE,es_ES
acaballerar,VerbosTransitivosPronominales,RAE,es_ES
acaballonar,VerbosTransitivos,RAE,es_ES
acabamiento,NombresMasculinos,RAE,es_ES
acabar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
acabañar,VerbosIntransitivosPronominales,RAE,es_ES
acabestrillar,VerbosIntransitivos,RAE,es_ES
acabildar,VerbosTransitivosPronominales,RAE,es_ES
acabo,NombresMasculinos,RAE,es_ES
acachar,VerbosPronominales,RAE,es_ES
acachetar,VerbosTransitivos,RAE,es_ES
acachetear,VerbosTransitivos,RAE,es_ES
acachorrar,VerbosAnticuadosDesusados,RAE,es_ES
acacia,NombresFemeninos,RAE,es_ES
acaciano,Adjetivos,RAE,es_ES
academia,NombresFemeninos,RAE,es_ES
academicismo,NombresMasculinos,RAE,es_ES
academicista,Adjetivos,RAE,es_ES
academicista,NombresComunes,RAE,es_ES
academizar,VerbosTransitivos,RAE,es_ES
acadio,Adjetivos,RAE,es_ES
acadio,NombresMasculinos,RAE,es_ES
académicamente,Adverbios,RAE,es_ES
académico,Adjetivos,RAE,es_ES
académico,NombresMasculinosFemeninos,RAE,es_ES
acaecer,NombresMasculinos,RAE,es_ES
acaecimiento,NombresMasculinos,RAE,es_ES
acaguasar,VerbosPronominales,RAE,es_ES
acairelar,VerbosTransitivos,RAE,es_ES
acalabrotar,VerbosTransitivos,RAE,es_ES
acaldar,VerbosTransitivosPronominales,RAE,es_ES
acalefo,Adjetivos,RAE,es_ES
acalefo,NombresMasculinos,RAE,es_ES
acalenturar,VerbosPronominales,RAE,es_ES
acallantar,VerbosTransitivos,RAE,es_ES
acallar,VerbosTransitivos,RAE,es_ES
acalmar,VerbosAnticuadosDesusados,RAE,es_ES
acaloradamente,Adverbios,RAE,es_ES
acalorado,Adjetivos,RAE,es_ES
acaloramiento,NombresMasculinos,RAE,es_ES
acalorar,VerbosTransitivosPronominales,RAE,es_ES
acaloñar,VerbosAnticuadosDesusados,RAE,es_ES
acalumniar,VerbosAnticuadosDesusados,RAE,es_ES
acamar,VerbosTransitivosPronominales,RAE,es_ES
acampada,NombresFemeninos,RAE,es_ES
acampanado,Adjetivos,RAE,es_ES
acampanar,VerbosTransitivosPronominales,RAE,es_ES
acampar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
acanalador,NombresMasculinos,RAE,es_ES
acanalar,VerbosTransitivos,RAE,es_ES
acanallar,VerbosTransitivosPronominales,RAE,es_ES
acanelado,Adjetivos,RAE,es_ES
acanelonar,VerbosAnticuadosDesusados,RAE,es_ES
acanillado,Adjetivos,RAE,es_ES
acanilladura,NombresFemeninos,RAE,es_ES
acantarar,VerbosTransitivos,RAE,es_ES
acantear,VerbosTransitivos,RAE,es_ES
acantilado,Adjetivos,RAE,es_ES
acantilado,NombresMasculinos,RAE,es_ES
acantilar,VerbosTransitivosPronominales,RAE,es_ES
acantio,NombresMasculinos,RAE,es_ES
acanto,NombresMasculinos,RAE,es_ES
acantonamiento,NombresMasculinos,RAE,es_ES
acantonar,VerbosTransitivosPronominales,RAE,es_ES
acantopterigio,Adjetivos,RAE,es_ES
acantopterigio,NombresMasculinos,RAE,es_ES
acantácea,NombresFemeninos,RAE,es_ES
acantáceo,Adjetivos,RAE,es_ES
acaparador,Adjetivos,RAE,es_ES
acaparamiento,NombresMasculinos,RAE,es_ES
acaparar,VerbosTransitivos,RAE,es_ES
acaparrarse,VerbosAnticuadosDesusados,RAE,es_ES
acapizar,VerbosPronominales,RAE,es_ES
acaramelar,VerbosTransitivosPronominales,RAE,es_ES
acarar,VerbosTransitivos,RAE,es_ES
acardenalar,VerbosTransitivosPronominales,RAE,es_ES
acarear,VerbosTransitivos,RAE,es_ES
acariciador,Adjetivos,RAE,es_ES
acariciar,VerbosTransitivos,RAE,es_ES
acaronar,VerbosTransitivos,RAE,es_ES
acarralar,VerbosTransitivosPronominales,RAE,es_ES
acarrar,VerbosPronominales,RAE,es_ES
acarrazar,VerbosPronominales,RAE,es_ES
acarreadizo,Adjetivos,RAE,es_ES
acarreador,Adjetivos,RAE,es_ES
acarreador,NombresMasculinos,RAE,es_ES
acarreamiento,NombresMasculinos,RAE,es_ES
acarrear,VerbosTransitivos,RAE,es_ES
acarreo,NombresMasculinos,RAE,es_ES
acarretar,VerbosTransitivos,RAE,es_ES
acartonar,VerbosPronominales,RAE,es_ES
acasarado,NombresCompuestos,RAE,es_ES
acaso,Adverbios,RAE,es_ES
acastorado,Adjetivos,RAE,es_ES
acatalecto,Adjetivos,RAE,es_ES
acataléctico,Adjetivos,RAE,es_ES
acatamiento,NombresMasculinos,RAE,es_ES
acatar,VerbosTransitivos,RAE,es_ES
acatarrar,VerbosTransitivosPronominales,RAE,es_ES
acaudalado,Adjetivos,RAE,es_ES
acaudalar,VerbosTransitivos,RAE,es_ES
acaudillar,VerbosTransitivosPronominales,RAE,es_ES
acaule,Adjetivos,RAE,es_ES
acautelar,VerbosPronominales,RAE,es_ES
acañaverear,VerbosTransitivos,RAE,es_ES
acañonear,VerbosTransitivos,RAE,es_ES
acceder,VerbosIntransitivos,RAE,es_ES
accesibilidad,NombresFemeninos,RAE,es_ES
